srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,YearCode,Year,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,2022,India,1,JAMMU AND KASHMIR,12267013,3371233,8895780,6483906,1825543,4658363,5783107,2022,"Financial Year (Apr - Mar), 2022",1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335440.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Himachal Pradesh,2022,India,2,HIMACHAL PRADESH,6864602,688552,6176050,3481873,371528,3110345,3382729,2022,"Financial Year (Apr - Mar), 2022",317024,3065705,1483280,170770,1312510,27130,4.55071e+06,4577843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2022,India,3,PUNJAB,27743338,10399146,17344192,14639465,5545989,9093476,13103873,2022,"Financial Year (Apr - Mar), 2022",4853157,8250716,5513071,2154958,3358113,251460,4.78989e+06,5041350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chandigarh,2022,India,4,CHANDIGARH,1055450,1026459,28991,580663,563513,17150,474787,2022,"Financial Year (Apr - Mar), 2022",462946,11841,241173,234033,7140,10953,447,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2022,India,5,UTTARAKHAND,10086292,3049338,7036954,5137773,1618731,3519042,4948519,2022,"Financial Year (Apr - Mar), 2022",1430607,3517912,2056975,631889,1425086,90193,3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2022,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,8774006,11856728,2022,"Financial Year (Apr - Mar), 2022",4121375,7735353,4857524,1813768,3043756,197608,4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,2022,India,7,DELHI,16787941,16368899,419042,8987326,8761005,226321,7800615,2022,"Financial Year (Apr - Mar), 2022",7607894,192721,3435999,3356425,79574,115407,35620.1,151027.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2022,India,8,RAJASTHAN,68548437,17048085,51500352,35550997,8909250,26641747,32997440,2022,"Financial Year (Apr - Mar), 2022",8138835,24858605,12711146,3216243,9494903,665817,3.31262e+07,33792067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2022,India,9,UTTAR PRADESH,199812341,44495063,155317278,104480510,23487515,80992995,95331831,2022,"Financial Year (Apr - Mar), 2022",21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bihar,2022,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,48073850,49821295,2022,"Financial Year (Apr - Mar), 2022",5553709,44267586,18913565,2050625,16862940,232472,9.06661e+06,9299085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sikkim,2022,India,11,SIKKIM,610577,153578,456999,323070,80273,242797,287507,2022,"Financial Year (Apr - Mar), 2022",73305,214202,129006,35718,93288,3824.1,649873,653697.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2022,India,12,ARUNACHAL PRADESH,1383727,317369,1066358,713912,167901,546011,669815,2022,"Financial Year (Apr - Mar), 2022",149468,520347,270577,70367,200210,,1.33104e+06,1331039.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2022,India,13,NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,2022,"Financial Year (Apr - Mar), 2022",271789,682064,396002,118511,277491,,101253,101253.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manipur,2022,India,14,MANIPUR,2855794,834154,2021640,1438586,411702,1026884,1417208,2022,"Financial Year (Apr - Mar), 2022",422452,994756,557859,172339,385520,18024,175742,193766.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2022,India,15,MIZORAM,1097206,571771,525435,555339,286204,269135,541867,2022,"Financial Year (Apr - Mar), 2022",285567,256300,222853,117041,105812,86600,,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tripura,2022,India,16,TRIPURA,3673917,961453,2712464,1874376,487203,1387173,1799541,2022,"Financial Year (Apr - Mar), 2022",474250,1325291,855556,238974,616582,39184,1.00031e+06,1039494.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2022,India,17,MEGHALAYA,2966889,595450,2371439,1491832,297572,1194260,1475057,2022,"Financial Year (Apr - Mar), 2022",297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2022,India,18,ASSAM,31205576,4398542,26807034,15939443,2260454,13678989,15266133,2022,"Financial Year (Apr - Mar), 2022",2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2022,India,19,WEST BENGAL,91276115,29093002,62183113,46809027,14964082,31844945,44467088,2022,"Financial Year (Apr - Mar), 2022",14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2022,India,20,JHARKHAND,32988134,7933061,25055073,16930315,4153829,12776486,16057819,2022,"Financial Year (Apr - Mar), 2022",3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2022,India,21,ODISHA,41980846,7010284,34970562,21215646,3629443,17586203,20765200,2022,"Financial Year (Apr - Mar), 2022",3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chattisgarh,2022,India,22,CHHATTISGARH,25545198,5937237,19607961,12832895,3035469,9797426,12712303,2022,"Financial Year (Apr - Mar), 2022",2901768,9810535,5650724,1285156,4365568,324772,9.34252e+06,9667292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madhya Pradesh,2022,India,23,MADHYA PRADESH,72641665,20084261,52557404,37620144,10470756,27149388,35021521,2022,"Financial Year (Apr - Mar), 2022",9613505,25408016,15095856,4015578,11080278,774641,2.54876e+07,26262239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gujarat,2022,India,24,GUJARAT,60443083,25748474,34694609,31492973,13693814,17799159,28950110,2022,"Financial Year (Apr - Mar), 2022",12054660,16895450,12249135,5475577,6773558,733163,1.49574e+07,15690521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maharashtra,2022,India,27,MAHARASHTRA,112374333,50818259,61556074,58243056,26704022,31539034,54131277,2022,"Financial Year (Apr - Mar), 2022",24114237,30017040,24421519,11206781,13214738,912066,2.88942e+07,29806232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2022,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,2022,"Financial Year (Apr - Mar), 2022",7318145,17428445,12718976,3653618,9065358,411934,1.30242e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2022,India,29,KARNATAKA,61095297,23625962,37469335,30966657,12037303,18929354,30128640,2022,"Financial Year (Apr - Mar), 2022",11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goa,2022,India,30,GOA,1458545,906814,551731,739140,463704,275436,719405,2022,"Financial Year (Apr - Mar), 2022",443110,276295,343611,215403,128208,77854,292350,370204.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lakshadweep,2022,India,31,LAKSHADWEEP,64473,50332,14141,33123,25880,7243,31350,2022,"Financial Year (Apr - Mar), 2022",24452,6898,11574,8864,2710,2137,771.28,2908.28009033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2022,India,32,KERALA,33406061,15934926,17471135,16027412,7619358,8408054,17378649,2022,"Financial Year (Apr - Mar), 2022",8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2022,India,33,TAMIL NADU,72147030,34917440,37229590,36137975,17458910,18679065,36009055,2022,"Financial Year (Apr - Mar), 2022",17458530,18550525,18524982,8996487,9528495,1363555.5,1.15072e+07,12870773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2022,India,34,PUDUCHERRY,1247953,852753,395200,612511,417604,194907,635442,2022,"Financial Year (Apr - Mar), 2022",435149,200293,302450,207432,95018,15456,33823.8,49279.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2022,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,2022,"Financial Year (Apr - Mar), 2022",66904,110806,94551,36021,58530,3799.37,81533.2,85332.5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Telangana,2022,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,2022,"Financial Year (Apr - Mar), 2022",6702025,10690016,8303612,3134583,5169029,373524,1.00147e+07,10388260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ladakh,2022,India,37,LADAKH,274289,62009,212280,156756,40642,116114,117533,2022,"Financial Year (Apr - Mar), 2022",21367,96166,40247,9195,31052,2615,55650.3,58265.33203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daman and Diu,2022,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,243247,182851,60396,150301,117906,32395,92946,2022,"Financial Year (Apr - Mar), 2022",64945,28001,60956,48212,12744,4852,4845.68,9697.6796875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,2,1.00000000000000000000,0.41442118318919987188,1.00000000000000000000,0.53240101791839182870,1.00000000000000000000,0.24802266847357398053,1.00000000000000000000,0.43684404800311572657,1.00000000000000000000,0.55261270803942613692,1.00000000000000000000,0.24785768936495791890,1.00000000000000000000,0.38265917371703822639,1.00000000000000000000,0.49925049006418879963,1.00000000000000000000,0.24821381083237301658,1.00000000000000000000,0.44359381140204054900,1.00000000000000000000,0.54430093930635838150,1.00000000000000000000,0.26094434661534051353,1,0.514964975589047,1,0.0985743,1,0.165546963484867
Dadra and Nagar Haveli,2022,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,343709,160595,183114,193760,95455,98305,149949,2022,"Financial Year (Apr - Mar), 2022",65140,84809,76458,40364,36094,4570,44311.9,48881.94921875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,2,1.00000000000000000000,0.58557881681080012812,1.00000000000000000000,0.46759898208160817130,1.00000000000000000000,0.75197733152642601947,1.00000000000000000000,0.56315595199688427343,1.00000000000000000000,0.44738729196057386308,1.00000000000000000000,0.75214231063504208110,1.00000000000000000000,0.61734082628296177361,1.00000000000000000000,0.50074950993581120037,1.00000000000000000000,0.75178618916762698342,1.00000000000000000000,0.55640618859795945100,1.00000000000000000000,0.45569906069364161850,1.00000000000000000000,0.73905565338465948647,1,0.485035024410953,1,0.901426,1,0.834453036515133
